Card Name,Rarity,Number,Price,Market Price,Listing Count,Mention Count
Mask of Restrict,Common / Short Print,#SR07-EN040,$0.95,$2.22,33,0
Secret Six Samurai - Hatsume,Secret Rare,#SPWA-EN003,$4.00,$6.38,69,0
Metaphys Horus (UTR),Ultimate Rare,#SECE-EN049,$5.12,$15.31,54,0
Vanity's Ruler (UTR),Ultimate Rare,#CDIP-EN024,$21.98,$51.00,88,0
The White Stone of Legend,Secret Rare,#LCKC-EN010,$1.05,$2.25,127,1
Fusion Destiny,Super Rare,#DANE-EN054,$1.33,$1.53,108,0
Naturia Barkion,Gold Rare,#PGL2-EN087,$2.65,$6.37,81,3
"Baxia, Brightness of the Yang Zing",Secret Rare,#MP15-EN096,$2.85,$3.64,72,0
Saryuja Skull Dread,Secret Rare,#MP18-EN202,$2.95,$3.92,61,0
Denko Sekka,Ultra Rare,#DUDE-EN030,$0.12,$0.57,187,4
Plaguespreader Zombie,Super Rare,#DASA-EN041,$0.65,$0.96,133,0
Gate Guardian,Ultra Rare,#RP01-EN023,$164.95,$150.69,10,0
Superdreadnought Rail Cannon Gustav Max,Ultra Rare,#LART-EN018,$4.00,$5.38,61,3
"Artorigus, King of the Noble Knights (UTR)",Ultimate Rare,#CBLZ-EN086,$4.44,$7.17,34,0
Monster Reborn,Parallel Rare,#HL07-EN001,$3.00,$21.50,99,72
Ha-Re the Sword Mikanko,Super Rare,#AMDE-EN025,$0.08,$0.43,168,0
Anti-Spell Fragrance,Ultra Rare,#DUDE-EN052,$0.35,$1.13,194,15
Herald of the Abyss,Ultra Rare,#MP19-EN201,$1.12,$2.03,100,0
PSY-Framelord Lambda,Secret Rare,#BLHR-EN051,$2.25,$10.01,112,0
Pot of Avarice,Ultra Rare,#DR04-EN097,$49.89,$75.00,26,0
Giant Red Seasnake,Super Rare,#TP2-003,$41.00,$149.99,14,0
Pot of Extravagance,Super Rare,#TP2-003,$38.44,$49.99,3,6
Elemental Hero Knospe,Secret Rare,#PP02-EN005,$48.98,$149.97,15,0
Pot of Duality,Secret Rare,#PP02-EN005,$32.94,$49.99,3,7
Labyrinth Heavy Tank,Super Rare,#MAZE-EN001,$0.20,$0.57,196,0
Magic Cylinder,Ultra Rare,#IOC-SE2,$0.54,$4.28,95,0
Photon Orbital,Secret Rare,#LDS2-EN051,$1.68,$2.34,79,0
Noctovision Dragon,Super Rare,#MP21-EN048,$0.08,$0.23,233,0
Dark Paladin,Secret Rare,#LCYW-EN048,$10.84,$21.39,48,0
Thunder Dragon Colossus,Ultra Rare,#MP19-EN183,$2.00,$3.25,110,0
Number 65: Djinn Buster,Rare,#SHSP-EN047,$0.85,$2.30,168,2
Ancient Gear Box,Common / Short Print,#SR03-EN011,$0.83,$4.53,71,0
Mudora the Sword Oracle,Ultra Rare,#MAMA-EN026,$0.25,$0.47,343,0
Triple Tactics Talent (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#MAMA-EN090,$134.99,$149.13,3,0
Reinforcement of the Army (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#MAMA-EN108,$141.99,$149.12,12,0
Masked Dragon,Super Rare,#TU06-EN003,$30.00,$49.70,9,0
Elemental HERO Bubbleman,Secret Rare,#EHC1-EN003,$4.00,$37.27,53,2
Black Luster Soldier - Envoy of the Beginning (CR),Collector's Rare,#TOCH-EN029,$146.93,$148.92,32,0
Foie Glasya de Nouvelles,Super Rare,#WISU-EN032,$0.10,$0.17,145,1
"Tengu, the Winged Mayakashi",Secret Rare,#HISU-EN034,$2.49,$3.46,49,0
Twin Twisters,Common / Short Print,#SDCH-EN026,$0.40,$0.77,114,10
Chaos Emperor Dragon - Envoy of the End,Ultra Rare,#TLM-ENSE2,$1.38,$4.95,130,0
Elemental Hero Gaia,Duel Terminal Normal Parallel Rare,#DT06-EN034,$7.89,$7.80,11,0
Breaker the Magical Warrior,Common / Short Print,#EGS1-EN007,$0.25,$0.48,65,0
Blue-Eyes White Dragon,Premium Gold Rare,#MGED-EN001,$0.60,$1.66,138,42
Baelgrill de Nouvelles,Super Rare,#WISU-EN034,$0.09,$0.17,161,0
Immortal Phoenix Gearfried,Ultra Rare,#TOCH-EN012,$3.80,$5.68,80,0
M-X-Saber Invoker,Secret Rare,#ORCS-EN099,$0.95,$2.08,34,0
Destiny HERO - Malicious,Common / Short Print,#LEHD-ENA04,$0.35,$1.23,108,0
Gren Maju Da Eiza,Super Rare,#OP12-EN004,$2.99,$4.10,64,0
"Jiaotu, Darkness of the Yang Zing",Ultra Rare,#NECH-EN032,$2.25,$5.27,53,0
"Ninaruru, the Magistus Glass Goddess (CR)",Collector's Rare,#GEIM-EN007,$9.59,$13.39,48,0
Conquistador of the Golden Land,Premium Gold Rare,#MGED-EN054,$0.20,$0.83,200,0
Graceful Dice,Secret Rare,#EDS-002,$0.50,$3.97,161,0
Mermail Abyssteus (UTR),Ultimate Rare,#CBLZ-EN083,$12.49,$18.36,74,0
Warrior of Atlantis,Rare,#FOTB-EN016,$6.18,$8.16,86,0
Tearlaments Merrli,Super Rare,#OP21-EN005,$0.40,$0.63,109,0
Fire Formation - Tenki,Secret Rare,#FIGA-EN028,$1.90,$2.19,81,1
Emergency Teleport,Gold Rare,#PGL3-EN081,$1.30,$2.62,90,5
Elemental HERO Burstinatrix (Alternate Art),Secret Rare,#LCGX-EN004,$4.00,$6.66,87,0
Black Horn of Heaven (UTR),Ultimate Rare,#CDIP-EN060,$10.00,$29.29,37,0
Metalmorph (Forbidden Memories),Secret Rare,#FMR-003,$5.00,$36.59,41,0
Neos Wiseman,Secret Rare,#CSOC-EN097,$21.00,$29.27,45,2
Horus the Black Flame Dragon LV6,Super Rare,#SOD-EN007,$0.50,$3.85,132,0
El Shaddoll Anoyatyllis,Secret Rare,#CROS-EN044,$6.99,$12.19,49,0
"Dogoran, the Mad Flame Kaiju",Rare,#CORE-EN087,$0.62,$1.17,62,4
Witchcrafter Holiday,Secret Rare,#INCH-EN021,$2.29,$3.25,53,0
Xtra HERO Cross Crusader,Common / Short Print,#MP20-EN070,$0.50,$0.68,64,0
Consecrated Light,Common / Short Print,#SDLS-EN022,$0.50,$1.72,38,0
Mist Valley Apex Avian,Secret Rare,#HA02-EN049,$3.33,$4.43,103,3
Phoenix Wing Wind Blast,Super Rare,#HISU-EN045,$0.68,$1.57,63,0
Kuriboh,Ultra Rare,#BROL-EN062,$0.09,$0.24,305,24
Blue-Eyes Solid Dragon,Ultra Rare,#LDS2-EN014,$1.27,$3.17,56,0
"Girsu, the Orcust Mekk-Knight",Secret Rare,#ETCO-EN024,$5.01,$9.71,60,0
Fiendish Rhino Warrior,Super Rare,#OP02-EN005,$3.59,$5.82,49,0
Vanquish Soul - Continue?,Super Rare,#WISU-EN025,$0.03,$0.16,188,0
Chain Disappearance,Secret Rare,#LCKC-EN094,$0.75,$2.17,93,0
Big Shield Gardna,Super Rare,#TP5-EN002,$9.89,$72.69,48,0
"Redox, Dragon Ruler of Boulders",Secret Rare,#CT10-EN003,$0.65,$3.23,104,0
Right Arm of the Forbidden One,Secret Rare,#LCYW-EN304,$7.01,$9.69,46,0
Protecting Spirit Loagaeth,Ultra Rare,#DAMA-EN025,$1.18,$2.27,77,0
Mannadium Meek,Super Rare,#CYAC-EN014,$0.07,$0.33,167,0
Despian Tragedy,Ultra Rare,#GFP2-EN096,$0.09,$0.61,242,4
Crystal Beast Sapphire Pegasus,Secret Rare,#CT04-EN002,$0.99,$4.09,97,0
Polymerization (A) (Secret Rare),Secret Rare,#SGX1-ENA12,$1.57,$1.96,72,0
Giant Red Seasnake,Super Rare,#WP11-EN008,$99.94,$142.99,14,0
King of the Swamp,Common / Short Print,#LDK2-ENK17,$0.74,$3.04,186,12
Dark Burning Magic,Secret Rare,#LDK2-ENS05,$0.71,$1.57,133,0
PSY-Framelord Omega,Secret Rare,#HSRD-EN035,$9.50,$12.98,35,16
"Trishula, Zero Dragon of the Ice Barrier",Ultra Rare,#SDFC-EN041,$0.55,$1.72,97,0
Hieratic Seal of the Heavenly Spheres,Ultra Rare,#BLCR-EN090,$0.09,$0.36,345,2
X-Saber Airbellum,Duel Terminal Super Parallel Rare,#DT01-EN020,$8.87,$17.83,18,0
Mother Spider Splitter,Ultra Rare,#BLMR-EN044,$0.04,$0.15,172,1
Conquistador of the Golden Land,Secret Rare,#SESL-EN034,$1.00,$1.85,82,0
"Karakuri Merchant mdl 177 ""Inashichi""",Rare,#STBL-EN020,$3.20,$4.91,46,0
"Lucent, Netherlord of Dark World",Super Rare,#PRIO-EN031,$3.95,$7.91,73,0
Mobius the Mega Monarch (Ghost Rare),Ghost Rare,#LVAL-EN040,$13.96,$28.46,76,0
Obelisk the Tormentor (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#KICO-EN064,$20.28,$28.46,32,0
Cyber Jar,Ultra Rare,#HL2-EN001,$8.00,$14.23,36,0
Raidraptor - Strangle Lanius,Super Rare,#PHRA-EN005,$0.45,$1.38,143,1
Goblin Attack Force,Ultra Rare,#PSV-094,$0.49,$4.18,165,0
"Wulf, Lightsworn Beast",Ultra Rare,#BLLR-EN039,$0.84,$1.71,103,2
Pre-Preparation of Rites,Super Rare,#STP4-EN012,$4.00,$9.46,23,12
Trickstar Lycoris,Ultimate Rare,#OP09-EN002,$25.98,$28.37,35,0
Arcana Force XXI - The World,Ultra Rare,#LODT-EN016,$6.99,$7.09,30,0
Exodia the Forbidden One,Secret Rare,#LCYW-EN306,$9.24,$20.25,67,0
Scrap Wyvern,Super Rare,#CHIM-ENSE1,$0.75,$1.22,78,2
Goblin Fan,Super Rare,#WP11-EN019,$134.99,$144.95,7,0
Breath of Light,Super Rare,#DL10-EN001,$100.00,$144.91,12,0
Lyrilusc - Ensemblue Robin,Ultra Rare,#LED8-EN037,$0.75,$1.14,148,1
Panther Warrior,Secret Rare,#CT2-EN006,$0.98,$6.89,104,0
Leviair the Sea Dragon,Common / Short Print,#LEHD-ENC38,$0.95,$1.46,89,0
Miracle Fusion,Ultra Rare,#DUPO-EN055,$0.33,$0.84,154,2
Draco-Utopian Aura,Secret Rare,#POTE-EN079,$0.60,$1.29,138,0
Sangan,Ultra Rare,#HL2-EN003,$5.48,$18.04,44,0
PSY-Framelord Omega,Rare,#MGED-EN076,$0.25,$0.37,141,16
Mathmech Equation,Ultra Rare,#BLMR-EN092,$0.05,$0.21,163,2
"Pilica, Descendant of Gusto",Super Rare,#PRIO-EN029,$5.24,$6.87,67,0
Mekk-Knight Crusadia Avramax,Ultra Rare,#MP20-EN071,$1.30,$2.09,97,0
Giant Trunade,Super Rare,#SRL-EN048,$8.74,$8.01,5,0
Rekindling,Super Rare,#TU03-EN004,$23.95,$24.02,13,0
Machina Force,Secret Rare,#LCYW-EN171,$7.00,$10.29,53,0
Ursarctic Grand Chariot (CR),Collector's Rare,#ANGU-EN035,$14.65,$18.00,34,0
Blackwing - Vayu the Emblem of Honor,Secret Rare,#BLCR-EN060,$0.24,$0.50,257,0
Foolish Burial,Common / Short Print,#LEHD-ENC17,$0.75,$1.26,78,66
Legendary Six Samurai - Shi En,Secret Rare,#SPWA-EN011,$2.75,$3.99,44,0
"Tempest, Dragon Ruler of Storms",Secret Rare,#CT10-EN004,$0.79,$3.59,88,0
Archfiend Eccentrick,Gold Rare,#PGL3-EN056,$1.40,$2.93,77,0
Black Luster Soldier - Envoy of the Evening Twilight,Ultra Rare,#JUMP-EN069,$6.47,$9.56,23,1
Tornado Dragon,Secret Rare,#MACR-EN081,$2.00,$2.43,59,2
Danger! Bigfoot!,Ultra Rare,#MP19-EN136,$0.99,$2.47,122,0
The White Stone of Ancients,Ultra Rare,#LDS2-EN013,$1.25,$2.28,47,3
Dimensional Fissure,Secret Rare,#LCGX-EN215,$3.00,$5.89,109,8
Toon Dark Magician Girl,Ultra Rare,#JUMP-EN010,$1.89,$12.84,74,3
Black Luster Soldier - Super Soldier (UTR),Ultimate Rare,#DOCS-EN042,$17.00,$20.16,36,0
Instant Fusion,Ultra Rare,#MAMA-EN080,$0.25,$0.56,239,2
Keeper of Dragon Magic,Ultra Rare,#CT15-EN004,$1.00,$1.37,107,1
Double Evolution Pill,Rare,#WISU-EN053,$0.01,$0.11,171,3
Floowandereeze and the Magnificent Map,Prismatic Secret Rare,#MP22-EN220,$0.20,$0.53,228,0
Galaxy Wizard,Ultra Rare,#ZTIN-EN011,$2.17,$3.81,58,0
Messenger of Peace,Common / Short Print,#LDK2-ENY30,$0.80,$1.62,74,0
Libromancer Origin Story,Ultra Rare,#CYAC-EN063,$0.09,$0.55,180,0
Mathmech Circular,Super Rare,#POTE-EN028,$0.25,$0.69,211,1
Mistaken Arrest,Secret Rare,#CORE-EN065,$3.00,$5.41,62,0
Unchained Soul of Anguish,Secret Rare,#CHIM-EN044,$1.30,$2.93,60,0
Gagaga Cowboy,Gold Rare,#PGL3-EN067,$1.49,$2.51,55,4
Mermail Abysslinde (UTR),Ultimate Rare,#ABYR-EN014,$9.99,$17.56,22,0
Toon Kingdom,Secret Rare,#DRL2-EN023,$14.99,$20.06,43,8
Gold Pride - That Came Out of Nowhere!,Ultra Rare,#CYAC-EN089,$0.16,$0.52,204,0
Stardust Dragon,Super Rare,#SHSP-ENSE1,$1.48,$3.12,57,30
Sky Striker Mecha - Hornet Drones,Common / Short Print,#MP19-EN263,$0.74,$1.01,39,0
Royal Oppression,Duel Terminal Normal Parallel Rare,#DT04-EN048,$12.99,$17.54,24,0
Gottoms' Emergency Call,Ultra Rare,#TU04-EN001,$25.85,$35.07,10,0
Smashing Ground,Ultra Rare,#LCYW-EN275,$1.80,$4.52,47,0
Token: Generaider,Super Rare,#OP13-EN026,$2.00,$2.50,38,0
Vampire Vamp,Ultra Rare,#LART-EN033,$3.17,$4.00,36,0
Elemental Hero Poison Rose,Secret Rare,#PP02-EN006,$41.49,$139.97,17,0
Shaman of the Tenyi,Ultra Rare,#RIRA-EN044,$1.19,$2.69,74,0
Neo-Spacian Grand Mole,Duel Terminal Normal Parallel Rare,#DT07-EN006,$0.69,$1.37,22,0
Reinforcement of the Army,Platinum Rare,#NKRT-EN026,$2.29,$4.11,43,18
Lib the World Key Blademaster,Ultra Rare,#DUOV-EN023,$1.34,$2.25,88,0
Balameuniere de Nouvelles,Super Rare,#WISU-EN033,$0.07,$0.15,150,1
Elemental HERO Spirit of Neos,Super Rare,#POTE-EN001,$0.15,$0.46,208,0
Dark Magician Girl the Dragon Knight,Secret Rare,#DRLG-EN004,$23.00,$34.84,98,0
Raigeki,Ultra Rare,#LCKC-EN088,$2.75,$4.49,69,60
Gate Guardians Combined,Super Rare,#MAZE-EN003,$0.24,$0.55,205,0
"Enishi, Shien's Chancellor (UTR)",Ultimate Rare,#GLAS-EN032,$8.00,$34.77,42,0
Left Arm of the Forbidden One,Ultra Rare,#LOB-EN123,$10.13,$11.59,19,0
Vernusylph of the Awakening Forests,Super Rare,#POTE-EN017,$0.47,$0.88,169,0
Black Rose Dragon,Ultra Rare,#DUDE-EN010,$0.28,$0.42,148,15
PSY-Framegear Gamma,Super Rare,#EXFO-ENSE3,$0.98,$3.39,104,8
Number 22: Zombiestein,Super Rare,#RATE-ENSE1,$1.33,$1.93,56,2
Fossil Dig,Super Rare,#OP07-EN009,$0.99,$2.24,44,6
Tyrant Dragon,Ultra Rare,#LOD-034,$1.77,$8.68,119,1
DoSolfachord Coolia,Ultra Rare,#ANGU-EN021,$3.19,$3.65,66,0
Number 33: Chronomaly Machu Mech,Ultra Rare,#REDU-EN043,$15.75,$15.41,51,0
Cosmic Fortress Gol'Gar (UTR),Ultimate Rare,#CRMS-EN044,$10.00,$17.33,36,0
Thestalos the Firestorm Monarch,Super Rare,#RDS-EN021,$0.25,$1.98,148,0
Masked HERO Dark Law,Ultra Rare,#DUSA-EN094,$6.49,$17.32,35,4
The Hidden City,Super Rare,#FIGA-EN049,$3.49,$3.55,43,0
Honest,Ultra Rare,#TWED-EN001,$0.70,$2.03,93,120
Swordsoul Strategist Longyuan,Ultra Rare,#BODE-EN005,$0.30,$1.19,130,0
Gaia the Dragon Champion,Secret Rare,#LOB-EN125,$10.96,$138.00,24,3
Superheavy Samurai Soulpeacemaker,Rare,#MP17-EN134,$3.92,$5.52,45,0
Unexpected Dai,Rare,#KICO-EN055,$0.10,$0.38,130,0
Yamata Dragon,Ultra Rare,#LOD-067,$1.45,$9.84,100,0
"Sauravis, the Ancient and Ascended",Secret Rare,#INOV-EN037,$3.99,$8.61,88,0
Obelisk the Tormentor,Prismatic Secret Rare,#TN19-EN007,$0.25,$1.42,170,10
Elemental HERO Storm Neos,Common / Short Print,#LCGX-EN073,$5.75,$8.10,39,0
Blue-Eyes Alternative White Dragon (Green),Ultra Rare,#LDS2-EN008,$7.16,$8.10,26,0
Elemental Hero Tempest,Ultra Rare,#EEN-EN034,$3.89,$17.20,110,0
Joker's Straight (CR),Collector's Rare,#KICO-EN004,$17.40,$19.64,36,0
Totem Dragon,Common / Short Print,#SGX3-ENB12,$1.05,$1.26,46,0
Light and Darkness Dragon,Super Rare,#STOR-ENSE1,$0.25,$1.09,81,0
Fiendish Chain,Secret Rare,#LC5D-EN082,$2.94,$6.24,27,2
Vessel for the Dragon Cycle,Rare,#RIRA-EN059,$0.85,$1.04,69,0
Macro Cosmos,Common / Short Print,#EOJ-EN057,$0.45,$3.05,281,10
Test Tiger (UTR),Ultimate Rare,#GLAS-EN082,$60.00,$68.53,31,0
Noh-P.U.N.K. Ze Amin,Super Rare,#GRCR-EN004,$0.24,$0.62,212,1
Beetrooper Scout Buggy,Secret Rare,#DAMA-EN000,$1.20,$2.32,135,0
Junk Warrior (UR),Ultra Rare,#5DS1-EN041,$0.24,$4.02,229,0
Heat Wave,Common / Short Print,#SS03-ENA23,$2.85,$4.55,22,0
The Winged Dragon of Ra (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#KICO-EN065,$44.99,$45.50,23,0
Toon Dark Magician,Super Rare,#MP17-EN083,$0.99,$3.90,55,3
"Serziel, Watcher of the Evil Eye",Ultra Rare,#MP20-EN232,$1.00,$2.13,83,0
Neo Blue-Eyes Ultimate Dragon,Ultra Rare,#MVP1-EN001,$1.99,$2.78,72,0
Dragonmaid Tinkhec,Super Rare,#MYFI-EN019,$0.45,$1.26,102,0
Synchro Overtake,Secret Rare,#DAMA-EN067,$1.49,$1.79,109,0
Palladium Oracle Mahad,Gold Rare,#MVP1-ENG53,$3.25,$4.69,59,0
Trade-In,Ultra Rare,#LCJW-EN291,$2.75,$4.25,45,0
Dark Bribe,Ultra Rare,#DLG1-EN106,$34.99,$68.00,16,0
Vorse Raider,Secret Rare,#CT2-EN003,$0.99,$6.80,126,0
Knightmare Gryphon,Ultra Rare,#MP19-EN029,$0.70,$1.60,65,2
Toon Dark Magician Girl,Ultra Rare,#SP2-EN002,$8.93,$34.00,43,3
Machina Gearframe,Common / Short Print,#SR10-EN005,$1.04,$1.36,43,0
Lightning Vortex (UTR),Ultimate Rare,#FET-EN040,$42.99,$135.99,35,0
Destined Rivals,Ultra Rare,#MP20-EN248,$0.84,$2.06,103,0
Breaker the Magical Warrior (Secret),Secret Rare,#SBCB-EN008,$7.00,$9.71,36,0
Book of Moon,Common / Short Print,#SGX3-ENI31,$0.72,$0.79,23,78
Full Force Virus,Secret Rare,#MP17-EN228,$0.25,$0.95,92,0
Token: Jurraegg,Common / Short Print,#SR04-ENTKN,$0.40,$1.43,52,0
Gemini Elf,Ultra Rare,#LART-EN039,$2.98,$5.03,56,4
Blue-Eyes White Dragon (Version 3),Ultra Rare,#LCKC-EN001,$0.70,$1.94,84,0
Kycoo the Ghost Destroyer,Common / Short Print,#SBCB-EN006,$2.12,$3.16,24,0
Elemental Hero Phoenix Enforcer,Ultra Rare,#EOJ-EN032,$9.07,$16.96,56,0
Dark Balter the Terrible,Super Rare,#LOD-002,$1.98,$3.99,139,0
Double Evolution Pill,Ultra Rare,#DUOV-EN089,$0.29,$1.37,125,3
Hundred Dragon,Secret Rare,#DLCS-EN146,$1.00,$3.39,56,0
Sky Striker Ace - Shizuku,Super Rare,#DASA-EN028,$0.50,$1.21,134,0
Sauge de Fleur,Ultra Rare,#LED8-EN021,$0.20,$0.72,129,0
Needle Worm,Super Rare,#TP5-EN005,$14.79,$15.04,35,0
Degenerate Circuit (UTR),Ultimate Rare,#CDIP-EN047,$0.99,$5.01,53,0
Skull Guardian,Rare,#TP2-007,$78.12,$135.00,27,0
Cyber Dragon,Ultra Rare,#DR04-EN015,$29.95,$134.99,23,49
Souleating Oviraptor,Rare,#WISU-EN012,$0.05,$0.11,169,3
Alien Warrior (UTR),Ultimate Rare,#POTD-EN027,$3.88,$11.24,81,0
Armed Dragon LV5 (UTR),Ultimate Rare,#SOD-EN014,$5.97,$33.72,80,0
Sage of Strength - Akash,Ultra Rare,#BLMR-EN049,$0.04,$0.12,170,1
Vernusylph of the Misting Seedlings,Super Rare,#DABL-EN026,$0.03,$0.59,168,0
Beautiful Headhuntress,Rare,#TP2-011,$62.32,$67.25,24,0
Polymerization,Super Rare,#LOB-059,$1.00,$4.97,123,48
"Trishula, Dragon of the Ice Barrier",Ultra Rare,#DUDE-EN014,$0.12,$0.26,271,0
Toon Table of Contents,Super Rare,#TP6-EN002,$73.00,$134.14,40,3
T.G. Hyper Librarian,Ultra Rare,#JUMP-EN051,$4.43,$9.57,46,0
Pot of Greed,Rare,#LOB-119,$1.70,$3.19,159,77
Millennium Revelation,Super Rare,#LED7-EN006,$0.70,$1.97,100,0
Infernoid Tierra (UTR),Ultimate Rare,#CORE-EN049,$3.00,$8.93,88,0
Final Cross,Ultra Rare,#BLMR-EN041,$0.02,$0.16,175,1
Preparation of Rites,Rare,#WISU-EN045,$0.03,$0.14,152,6
Brotherhood of the Fire Fist - Panda,Secret Rare,#FIGA-EN013,$6.37,$6.37,20,0
Barrel Dragon,Ultra Rare,#MRD-126,$0.45,$5.57,155,0
Pulling the Rug,Rare,#CP05-EN010,$10.00,$14.80,5,2
Ally of Justice Catastor,Secret Rare,#HA01-EN026,$2.25,$6.34,46,0
Called by the Grave,Common / Short Print,#FLOD-EN065,$0.75,$0.95,171,36
Sinister Serpent,Prismatic Secret Rare,#WC4-E002,$29.99,$132.99,36,2
"Karakuri Steel Shogun mdl 00X ""Bureido""",Ultra Rare,#STOR-EN042,$2.10,$3.02,65,0
Salamangreat Spinny,Super Rare,#SDSB-EN004,$0.95,$1.51,77,0
Number S39: Utopia the Lightning,Ultimate Rare,#OP04-EN001,$28.99,$44.29,34,0
Living Fossil,Secret Rare,#BLRR-EN015,$1.75,$3.09,52,0
Wroughtweiler (UTR),Ultimate Rare,#CRV-EN012,$2.95,$18.96,75,0
Mask Change,Ultra Rare,#GFTP-EN112,$0.23,$0.85,192,2
Necrovalley,Ultimate Rare,#AP04-EN003,$90.00,$132.55,28,14
Orcust Harp Horror,Super Rare,#OP11-EN007,$3.85,$5.52,97,0
TiSolfachord Beautia,Ultra Rare,#ANGU-EN020,$1.49,$3.58,73,0
Right Leg of the Forbidden One,Gold Rare,#PGL2-EN022,$3.45,$6.62,37,0
Time Thief Redoer,Common / Short Print,#SAST-EN085,$0.50,$1.26,80,28
Copycat,Ultra Rare,#JUMP-EN020,$15.00,$26.46,19,0
Thousand Dragon,Secret Rare,#MRD-EN143,$3.00,$4.72,35,4
Trickstar Live Stage,Secret Rare,#SAST-EN058,$1.25,$1.86,50,0
Red-Eyes Toon Dragon,Common / Short Print,#LDS1-EN066,$2.55,$3.22,50,0
Vampire Fraulein,Secret Rare,#DASA-EN003,$0.99,$1.50,109,0
Red Dragon Archfiend/Assault Mode (Ghost Rare),Ghost Rare,#CRMS-EN004,$28.46,$65.99,73,0
D.D. Assailant,Super Rare,#DBT-EN002,$0.98,$5.07,130,0
Dinomorphia Kentregina,Ultra Rare,#BACH-EN038,$0.21,$0.49,194,0
Deck Lockdown,Ultra Rare,#DUOV-EN090,$0.25,$0.69,87,0
Gateway to Chaos,Secret Rare,#SHVA-EN058,$0.74,$1.40,64,0
"Goldd, Wu-Lord of Dark World (UTR)",Ultimate Rare,#EEN-EN024,$21.44,$65.74,40,0
Generaider Boss Quest,Secret Rare,#MYFI-EN035,$1.45,$1.75,66,0
Brain Control,Ultra Rare,#DUSA-EN046,$2.62,$3.86,37,0
Gallis the Star Beast,Super Rare,#GX06-EN001,$10.08,$14.58,10,0
Black Luster Soldier - Super Soldier,Ultra Rare,#DOCS-EN042,$8.25,$8.20,11,0
Junk Berserker (Ghost Rare),Ghost Rare,#EXVC-EN037,$16.64,$32.80,77,0
Confiras de Nouvelles,Super Rare,#WISU-EN030,$0.05,$0.16,156,0
Raiza the Storm Monarch,Super Rare,#FOTB-EN026,$1.50,$4.37,57,0
Dark Magician (Gold Secret Rare),Gold Secret Rare,#MVP1-ENGV3,$1.66,$3.12,72,0
Blackwing - Vata the Emblem of Wandering,Super Rare,#DABL-EN001,$0.20,$0.48,155,0
Tour Guide From the Underworld,Ultra Rare,#DUSA-EN091,$3.28,$6.24,49,0
Toon Black Luster Soldier,Ultra Rare,#TOCH-EN001,$8.65,$10.08,90,2
C-Crush Wyvern,Secret Rare,#LCKC-EN021,$0.70,$1.44,65,0
"Ikelos, the Dream Mirror Sprite",Ultra Rare,#RIRA-EN085,$3.93,$3.54,23,0
Victory Dragon,Secret Rare,#JUMP-EN011,$1.99,$10.89,113,0
Crush Card Virus,Gold Rare,#GLD1-EN038,$49.00,$130.61,24,2
Mind Control,Ultra Rare,#DUDE-EN038,$0.21,$0.64,197,2
Elemental Hero Terra Firma,Secret Rare,#PP02-EN009,$1.24,$2.72,58,1
The Hidden City,Secret Rare,#TDIL-EN085,$5.00,$6.87,48,0
Ancient Gear Golem,Ultra Rare,#TLM-EN006,$6.00,$13.05,114,0
Meteor Dragon Red-Eyes Impact,Rare,#INOV-EN028,$0.75,$1.74,98,0
Trickstar Candina,Ultra Rare,#MP18-EN037,$0.62,$2.25,37,0
Drytron Alpha Thuban,Super Rare,#GEIM-EN024,$0.35,$0.74,174,0
Effect Veiler,Ultra Rare,#DREV-EN002,$5.00,$16.27,75,33
Card of Demise,Ultra Rare,#DUPO-EN050,$1.25,$2.41,108,0
The Ascended of Thunder,Common / Short Print,#COTD-EN036,$1.00,$2.55,108,0
Kwagar Hercules,Super Rare,#TP1-003,$169.98,$130.00,24,0
Official Judge Field Center Token: Darklord Ixchel,Super Rare,#TP1-003,$130.00,$130.00,2,0
Exiled Force,Super Rare,#LOD-023,$0.65,$3.25,184,0
"Hamon, Lord of Striking Thunder",Ultra Rare,#DR04-EN122,$80.00,$129.97,12,0
Drillroid,Super Rare,#DR04-EN009,$45.99,$64.95,10,0
Vision HERO Increase,Secret Rare,#BLHR-EN007,$1.99,$6.49,72,0
Machina Overdrive,Common / Short Print,#SR10-EN034,$0.99,$1.73,75,1
Gladiator Beast Retiari,Rare,#TU03-EN006,$5.98,$4.99,33,0
Naturia Bamboo Shoot (UTR),Ultimate Rare,#DREV-EN029,$11.64,$25.91,53,0
Trickstar Divaridis,Ultra Rare,#SAST-EN049,$2.89,$2.59,20,0
Herald of Green Light (UTR),Ultimate Rare,#EOJ-EN018,$7.95,$25.89,58,0
Darklord Ixchel,Secret Rare,#BLRR-EN076,$2.49,$3.92,40,0
Dark Magician Girl the Dragon Knight,Common / Short Print,#LEDD-ENA36,$2.45,$4.79,53,0
Dark Magical Circle,Secret Rare,#TDIL-EN057,$6.00,$8.07,56,0
Dark Rebellion Xyz Dragon,Ultimate Rare,#NECH-EN053,$8.98,$14.34,78,3
Plaguespreader Zombie,Ultra Rare,#CSOC-EN031,$2.88,$8.06,54,0
"Alsei, the Sylvan High Protector",Ultra Rare,#LVAL-EN052,$2.60,$11.72,111,0
